ac_no,name,pc_name,district,mla,party
165,Rajaji Nagar,BANGALORE CENTRAL,BANGALORE,S. Suresh Kumar,Bharatiya Janata Party
166,Govindraj Nagar,BANGALORE SOUTH,BANGALORE,Priya Krishna,Indian National Congress
163,Shanti Nagar,BANGALORE CENTRAL,BANGALORE,N. A. Haris,Indian National Congress
167,Vijay Nagar,BANGALORE SOUTH,BANGALORE,M. Krishnappa,Indian National Congress
168,Chamrajpet,BANGALORE CENTRAL,BANGALORE,B. Z. Zameer Ahmed Khan,Indian National Congress
207,Sullia,DAKSHINA KANNADA,DAKSHINA KANNADA,Bhagirathi Murulya,Bharatiya Janata Party
169,Chickpet,BANGALORE SOUTH,BANGALORE,Uday Garudachar,Bharatiya Janata Party
0,,,BANGALORE,,
170,Basavanagudi,BANGALORE SOUTH,BANGALORE,L. A. Ravi Subramanya,Bharatiya Janata Party
172,B.T.M Layout,BANGALORE SOUTH,BANGALORE,Ramalinga Reddy,Indian National Congress
206,Puttur,DAKSHINA KANNADA,DAKSHINA KANNADA,Ashok Kumar Rai,Indian National Congress
171,Padmanaba Nagar,BANGALORE SOUTH,BANGALORE,,
173,Jayanagar,BANGALORE SOUTH,BANGALORE,C. K. Ramamurthy,Bharatiya Janata Party
177,Anekal,BANGALORE RURAL,BANGALORE,B. Shivanna,Indian National Congress
175,Bommanahalli,BANGALORE SOUTH,BANGALORE,M. Satish Reddy,Bharatiya Janata Party
176,Bangalore South,BANGALORE RURAL,BANGALORE,M. Krishnappa,
192,Krishnarajpet,MANDYA,MANDYA,,
208,Madikeri,MYSORE,KODAGU,Mantar Gowda,Indian National Congress
198,Arkalgud,HASSAN,HASSAN,A. Manju,
183,Ramanagaram,BANGALORE RURAL,BANGALORE RURAL,,
185,Channapatna,BANGALORE RURAL,BANGALORE RURAL,C. P. Yogeshwara,Indian National Congress
187,Maddur,MANDYA,MANDYA,K. M. Udaya,Indian National Congress
189,Mandya,MANDYA,MANDYA,Ravikumar Gowda (Ganiga),Indian National Congress
188,Melukote,MANDYA,MANDYA,Darshan Puttannaiah,
211,Krishnarajanagara,MANDYA,MYSORE,D. Ravishankar,Indian National Congress
184,Kanakapura,BANGALORE RURAL,BANGALORE RURAL,D. K. Shivakumar,Indian National Congress
210,Piriyapatna,MYSORE,MYSORE,,
209,Virajpet,MYSORE,KODAGU,A. S. Ponnanna,Indian National Congress
190,Shrirangapattana,MANDYA,MANDYA,Ramesh Bandisiddegowda,Indian National Congress
186,Malavalli,MANDYA,MANDYA,P. M. Narendraswamy,Indian National Congress
215,Chamundeshwari,MYSORE,MYSORE,G. T. Devegowda,
212,Hunsur,MYSORE,MYSORE,,
220,T.Narasipur,CHAMARAJANAGAR(SC),MYSORE,H. C. Mahadevappa,Indian National Congress
217,Chamaraja,MYSORE,MYSORE,K. Harish Gowda,Indian National Congress
219,Varuna,CHAMARAJANAGAR(SC),MYSORE,Siddaramaiah,20px
218,Narasimharaja,MYSORE,MYSORE,Tanveer Sait,Indian National Congress
216,Krishnaraja,MYSORE,MYSORE,T. S. Srivatsa,Bharatiya Janata Party
213,Heggadadevankote,CHAMARAJANAGAR(SC),MYSORE,Anil Chikkamadhu,Indian National Congress
221,Hanur,CHAMARAJANAGAR(SC),CHAMRAJNAGAR*,M. R. Manjunath,
222,Kollegal,CHAMARAJANAGAR(SC),CHAMRAJNAGAR*,A. R. Krishnamurthy,Indian National Congress
214,Nanjangud,CHAMARAJANAGAR(SC),MYSORE,Darshan Dhruvanarayana,Indian National Congress
223,Chamarajanagar,CHAMARAJANAGAR(SC),CHAMRAJNAGAR*,C. Puttarangashetty,Indian National Congress
224,Gundlupet,CHAMARAJANAGAR(SC),CHAMRAJNAGAR*,H M Ganesh Prasad,Indian National Congress
