state,constituency,name,name_title,party,photo_url
Maharashtra,Nagpur,Nitin Gadkari,Nitin Gadkari,Bharatiya Janata Party,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Nitin_Jairam_Gadkari.jpg/500px-Nitin_Jairam_Gadkari.jpg
Maharashtra,Bhandara–Gondiya,Prashant Padole,Prashant Yadaorao Padole,Indian National Congress,
Maharashtra,Gadchiroli–Chimur,Namdeo Kirsan,Namdeo Kirsan,Indian National Congress,
Maharashtra,Chandrapur,Pratibha Dhanorkar,Pratibha Dhanorkar,Indian National Congress,
Maharashtra,Yavatmal–Washim,Sanjay Deshmukh,Sanjay Deshmukh,Shiv Sena (2022–present),https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Sanjay_Uttamrao_Deshmukh_Election_2021_jpg.jpg/500px-Sanjay_Uttamrao_Deshmukh_Election_2021_jpg.jpg
Maharashtra,Hingoli,Nagesh Aashtikar Patil,Nagesh Bapurao Patil Ashtikar,Shiv Sena (2022–present),https://upload.wikimedia.org/wikipedia/en/9/91/Nagesh_Patil.jpeg
Maharashtra,Nanded,Vasantrao Balwantrao Chavan,Vasantrao Balwantrao Chavan,Indian National Congress,
Maharashtra,Parbhani,Sanjay Jadhav,Sanjay Haribhau Jadhav,Shiv Sena (2022–present),
Maharashtra,Jalna,Kalyan Kale,Kalyan Kale,Indian National Congress,
Maharashtra,Aurangabad,Sandipanrao Bhumre,Sandipanrao Bhumre,Shiv Sena (2022–present),
Maharashtra,Dindori,Bhaskar Bhagare,Bhaskar Bhagare,Nationalist Congress Party (Sharadchandra Pawar),https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/MP_Bhaskar_Bhagare_at_Orizen_Dental_Clinic_Inauguration.jpg/500px-MP_Bhaskar_Bhagare_at_Orizen_Dental_Clinic_Inauguration.jpg
Maharashtra,Nashik,Rajabhau Waje,Rajabhau Waje,Shiv Sena (UBT),https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Rajabhau_Waje.jpg/500px-Rajabhau_Waje.jpg
Maharashtra,Palghar,Hemant Savara,Hemant Savara,Bharatiya Janata Party,
Maharashtra,Bhiwandi,Suresh Mhatre,Suresh Mhatre,Nationalist Congress Party (Sharadchandra Pawar),https://upload.wikimedia.org/wikipedia/commons/6/6a/Suresh_Mhatre_Balyamama.jpg
Maharashtra,Kalyan,Shrikant Shinde,Shrikant Shinde,Shiv Sena (2022–present),https://upload.wikimedia.org/wikipedia/commons/a/a8/Dr._Shrikant_Eknath_Shinde_in_May_2025.jpg
Maharashtra,Thane,Naresh Mhaske,Naresh Mhaske,Shiv Sena (2022–present),
Maharashtra,Mumbai North,Piyush Goyal,Piyush Goyal,Bharatiya Janata Party,https://upload.wikimedia.org/wikipedia/commons/6/63/Piyush_Goyal_crop.jpg
Maharashtra,Mumbai North West,Ravindra Waikar,Ravindra Waikar,Shiv Sena (2022–present),
Maharashtra,Mumbai North East,Sanjay Dina Patil,Sanjay Dina Patil,Shiv Sena (2022–present),
Maharashtra,Mumbai North Central,Varsha Gaikwad,Varsha Gaikwad,Indian National Congress,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/The_Minister_of_State_for_Women_and_Child_Development%2C_Maharashtra%2C_Prof._Varsha_Gaikwad_calls_on_the_Minister_of_State_%28Independent_Charge%29_for_Women_and_Child_Development%2C_Smt._Krishna_Tirath%2C_in_New_Delhi.jpg/500px-thumbnail.jpg
Maharashtra,Mumbai South Central,Anil Desai,Anil Desai,Shiv Sena (UBT),
Maharashtra,Mumbai South,Arvind Sawant,Arvind Sawant,Shiv Sena (UBT),https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Arvind_Sawant_%28cropped%29.jpg/500px-Arvind_Sawant_%28cropped%29.jpg
Maharashtra,Raigad,Sunil Tatkare,Sunil Tatkare,Nationalist Congress Party,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/SDT_1.jpg/500px-SDT_1.jpg
Maharashtra,Maval,Shrirang Barne,Shrirang Barne,Shiv Sena (2022–present),
Maharashtra,Pune,Murlidhar Mohol,Murlidhar Mohol,Bharatiya Janata Party,https://upload.wikimedia.org/wikipedia/commons/5/55/Murlidhar_Mohol.jpg
Maharashtra,Baramati,Supriya Sule,Supriya Sule,Nationalist Congress Party (Sharadchandra Pawar),https://upload.wikimedia.org/wikipedia/commons/0/07/Supriya_Sule.png
Maharashtra,Shirur,Amol Kolhe,Amol Kolhe,Nationalist Congress Party (Sharadchandra Pawar),https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Amolkolhe.png/500px-Amolkolhe.png
Maharashtra,Ahmednagar,Nilesh Lanke,Nilesh Dnyandev Lanke,Nationalist Congress Party (Sharadchandra Pawar),https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Nilesh_Lanke_photo.jpg/500px-Nilesh_Lanke_photo.jpg
Maharashtra,Shirdi,Bhausaheb Wakchaure,Bhausaheb Rajaram Wakchaure,Shiv Sena (2022–present),
Maharashtra,Beed,Bajrang Sonwane,Bajrang Manohar Sonwane,Nationalist Congress Party (Sharadchandra Pawar),https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Bajrang_sonwane_from_beed.jpg/500px-Bajrang_sonwane_from_beed.jpg
Maharashtra,Osmanabad,Omprakash Rajenimbalkar,Omprakash Rajenimbalkar,Shiv Sena (2022–present),
